session_id	mode_id	participant_id	target_letter	selected_letter	dwell_time	selection_time	start_tstamp	end_tstamp	reaction_time	fixation_count	distance_to_target	key_distance	selections
1	hidden	E02	q	q	600.0	100.0	42484.0	44012.0	686.0	2.0	0.0	0	q
1	hidden	E02	s	s	600.0	100.0	19847.0	21931.0	1365.0	3.0	0.0	0	s
1	hidden	E02	w	w	600.0	100.0	59509.0	60975.0	730.0	2.0	0.0	0	w
1	hidden	E02	n	v	600.0	100.0	56716.0	58380.0	598.0	4.0	214.92499999999995	2	g;b;v
1	hidden	E02	z	z	600.0	100.0	34652.0	38582.0	208.0	9.0	0.0	0	x;z;x;z
1	hidden	E02	h	h	600.0	100.0	62025.0	64096.0	825.0	3.0	0.0	0	g;h
1	hidden	E02	t	j	600.0	100.0	65164.0	67664.0	114.0	4.0	289.3512187290732	3	j;i;j;j
1	hidden	E02	o	v	600.0	100.0	16052.0	18686.0	29.0	5.0	480.5878044915413	5	f;v;c;v
1	hidden	E02	j	h	600.0	100.0	48110.0	49606.0	730.0	1.0	107.46199999999999	1	h
1	hidden	E02	d	d	600.0	100.0	39797.0	41311.0	642.0	2.0	0.0	0	s;d
1	hidden	E02	e	e	600.0	100.0	52965.0	55605.0	495.0	5.0	0.0	0	r;e;w;e
1	hidden	E02	f	f	600.0	100.0	45030.0	47010.0	825.0	3.0	0.0	0	f;d;f
1	hidden	E02	l	j	600.0	100.0	50625.0	52066.0	525.0	2.0	214.92499999999995	2	j
2	hidden	E02	u	b	600.0	100.0	76852.0	79148.0	902.0	3.0	240.29367863928502	2	g;v;b
2	hidden	E02	v	v	600.0	100.0	80349.0	82115.0	806.0	2.0	0.0	0	c;v
2	hidden	E02	x	x	600.0	100.0	66085.0	68153.0	941.0	3.0	0.0	0	x;c;x
2	hidden	E02	g	g	600.0	100.0	50037.0	51704.0	685.0	3.0	0.0	0	f;g
2	hidden	E02	i	u	600.0	100.0	73060.0	75698.0	671.0	6.0	107.46300000000008	1	u;h;u;h;u
2	hidden	E02	m	h	600.0	100.0	58567.0	61454.0	659.0	6.0	193.73126233264475	2	h;j;h;h
2	hidden	E02	k	g	600.0	100.0	62648.0	64897.0	735.0	3.0	322.3900000000001	3	g;h;g
2	hidden	E02	b	c	600.0	100.0	42688.0	44604.0	489.0	4.0	214.92499999999995	2	r;x;c
2	hidden	E02	p	i	600.0	100.0	55919.0	57470.0	730.0	1.0	214.9229999999999	2	i
2	hidden	E02	c	c	600.0	100.0	52852.0	54847.0	1214.0	1.0	0.0	0	c
2	hidden	E02	a	a	600.0	100.0	45685.0	48912.0	614.0	7.0	0.0	0	s;d;x;x;s;a
2	hidden	E02	r	y	600.0	100.0	69352.0	71917.0	614.0	6.0	214.92499999999995	2	g;y;g;y
2	hidden	E02	y	c	600.0	100.0	83305.0	85206.0	789.0	4.0	303.9498498930374	3	x;c
1	hidden	E02	q	q	600.0	100.0	42484.0	44012.0	686.0	2.0	0.0	0	q
1	hidden	E02	s	s	600.0	100.0	19847.0	21931.0	1365.0	3.0	0.0	0	s
1	hidden	E02	w	w	600.0	100.0	59509.0	60975.0	730.0	2.0	0.0	0	w
1	hidden	E02	n	v	600.0	100.0	56716.0	58380.0	598.0	4.0	214.92499999999995	2	g;b;v
1	hidden	E02	z	z	600.0	100.0	34652.0	38582.0	208.0	9.0	0.0	0	x;z;x;z
1	hidden	E02	h	h	600.0	100.0	62025.0	64096.0	825.0	3.0	0.0	0	g;h
1	hidden	E02	t	j	600.0	100.0	65164.0	67664.0	114.0	4.0	289.3512187290732	3	j;i;j;j
1	hidden	E02	o	v	600.0	100.0	16052.0	18686.0	29.0	5.0	480.5878044915413	5	f;v;c;v
1	hidden	E02	j	h	600.0	100.0	48110.0	49606.0	730.0	1.0	107.46199999999999	1	h
1	hidden	E02	d	d	600.0	100.0	39797.0	41311.0	642.0	2.0	0.0	0	s;d
1	hidden	E02	e	e	600.0	100.0	52965.0	55605.0	495.0	5.0	0.0	0	r;e;w;e
1	hidden	E02	f	f	600.0	100.0	45030.0	47010.0	825.0	3.0	0.0	0	f;d;f
1	hidden	E02	l	j	600.0	100.0	50625.0	52066.0	525.0	2.0	214.92499999999995	2	j
1	visible	E02	q	q	600.0	100.0	30662.0	32409.0	404.0	4.0	0.0	0	g;e;q
