session_id	mode_id	participant_id	target_letter	selected_letter	dwell_time	selection_time	start_tstamp	end_tstamp	reaction_time	fixation_count	distance_to_target	key_distance	selections
1	hidden	A13	i	i	600.0	100.0	84236.0	88271.0	57.0	10.0	0.0	0	t;u;h;g;d;f;h;i
1	hidden	A13	q	q	600.0	100.0	65958.0	67558.0	718.0	3.0	0.0	0	q
1	hidden	A13	b	b	600.0	100.0	111072.0	114730.0	641.0	11.0	0.0	0	c;v;b
1	hidden	A13	a	a	600.0	100.0	62470.0	64064.0	482.0	4.0	0.0	0	w;a
1	hidden	A13	l	k	600.0	100.0	69626.0	74499.0	676.0	13.0	127.26999999999998	1	y;y;r;e;k
1	hidden	A13	v	x	600.0	100.0	92861.0	95713.0	686.0	7.0	254.55200000000002	2	x;c;x
1	hidden	A13	r	r	600.0	100.0	101621.0	103057.0	283.0	3.0	0.0	0	r
1	hidden	A13	g	g	600.0	100.0	107803.0	109855.0	267.0	4.0	0.0	0	f;g
1	hidden	A13	t	t	600.0	100.0	98500.0	100316.0	47.0	2.0	0.0	0	r;t
1	hidden	A13	u	u	600.0	100.0	75880.0	77967.0	103.0	4.0	0.0	0	y;u
1	hidden	A13	w	w	600.0	100.0	49772.0	57914.0	207.0	6.0	0.0	0	w;a;s;w;s;w;s;w;s;s;w
1	hidden	A13	c	c	600.0	100.0	104354.0	105821.0	54.0	3.0	0.0	0	d;c
1	hidden	A13	x	x	600.0	100.0	89608.0	91405.0	346.0	4.0	0.0	0	v;x
2	hidden	A13	k	k	600.0	100.0	128415.0	129915.0	689.0	2.0	0.0	0	k
2	hidden	A13	z	z	600.0	100.0	103069.0	104742.0	164.0	3.0	0.0	0	z
2	hidden	A13	j	h	600.0	100.0	139668.0	143265.0	686.0	8.0	127.26999999999998	1	h;f;g;f;g;h
2	hidden	A13	y	y	600.0	100.0	97669.0	101611.0	402.0	10.0	0.0	0	e;t;e;t;e;r;e;y
2	hidden	A13	e	e	600.0	100.0	136772.0	138090.0	581.0	1.0	0.0	0	e
2	hidden	A13	d	d	600.0	100.0	106176.0	107866.0	504.0	2.0	0.0	0	s;d
2	hidden	A13	m	n	600.0	100.0	114722.0	118369.0	658.0	9.0	127.27999999999997	1	b;v;n
2	hidden	A13	s	s	600.0	100.0	109149.0	110651.0	758.0	2.0	0.0	0	s
2	hidden	A13	f	f	600.0	100.0	111861.0	113500.0	566.0	3.0	0.0	0	d;f
2	hidden	A13	p	p	600.0	100.0	122894.0	126466.0	1080.0	8.0	0.0	0	p
2	hidden	A13	o	o	600.0	100.0	131069.0	135270.0	510.0	10.0	0.0	0	y;o;o;o
2	hidden	A13	h	h	600.0	100.0	119720.0	121623.0	54.0	3.0	0.0	0	g;h
2	hidden	A13	n	b	600.0	100.0	144780.0	146129.0	613.0	2.0	127.2700000000001	1	b
3	hidden	A13	n	b	600.0	100.0	62587.0	63876.0	477.0	3.0	127.2700000000001	1	b
3	hidden	A13	i	i	600.0	100.0	34778.0	36336.0	252.0	3.0	0.0	0	u;i
3	hidden	A13	q	q	600.0	100.0	22491.0	23977.0	44.0	4.0	0.0	0	q
3	hidden	A13	y	y	600.0	100.0	25599.0	31089.0	507.0	14.0	0.0	0	e;r;t;y;e;w;e;r;t;y;y
3	hidden	A13	z	z	600.0	100.0	54279.0	55545.0	449.0	1.0	0.0	0	z
3	hidden	A13	d	d	600.0	100.0	51426.0	53032.0	658.0	2.0	0.0	0	s;d
3	hidden	A13	v	v	600.0	100.0	57027.0	61236.0	517.0	12.0	0.0	0	c;x;v
3	hidden	A13	r	r	600.0	100.0	65184.0	66443.0	535.0	1.0	0.0	0	r
3	hidden	A13	b	v	600.0	100.0	43057.0	44526.0	298.0	2.0	127.27800000000002	1	v
3	hidden	A13	p	p	600.0	100.0	39937.0	41871.0	389.0	4.0	0.0	0	r;o;p
3	hidden	A13	w	w	600.0	100.0	37494.0	38828.0	431.0	2.0	0.0	0	w
3	hidden	A13	l	l	600.0	100.0	45726.0	50094.0	418.0	8.0	0.0	0	e;k;l;l
3	hidden	A13	c	c	600.0	100.0	32302.0	33531.0	478.0	2.0	0.0	0	c
4	hidden	A13	k	k	600.0	100.0	7413.0	10264.0	580.0	8.0	0.0	0	k;g;k
4	hidden	A13	e	e	600.0	100.0	26699.0	27900.0	525.0	2.0	0.0	0	e
4	hidden	A13	a	a	600.0	100.0	11416.0	12789.0	402.0	2.0	0.0	0	a
4	hidden	A13	j	g	600.0	100.0	43126.0	44476.0	686.0	2.0	254.54999999999995	2	g
4	hidden	A13	m	b	600.0	100.0	40022.0	41412.0	595.0	2.0	254.55000000000007	2	b
4	hidden	A13	s	s	600.0	100.0	21559.0	23027.0	490.0	2.0	0.0	0	d;s
4	hidden	A13	g	g	600.0	100.0	35132.0	38104.0	670.0	7.0	0.0	0	d;f;g
4	hidden	A13	f	f	600.0	100.0	19094.0	20295.0	466.0	3.0	0.0	0	f
4	hidden	A13	u	i	600.0	100.0	29099.0	30497.0	403.0	3.0	127.27999999999997	1	i
4	hidden	A13	o	o	600.0	100.0	4846.0	6227.0	492.0	1.0	0.0	0	o
4	hidden	A13	t	t	600.0	100.0	32313.0	33497.0	490.0	1.0	0.0	0	t
4	hidden	A13	h	h	600.0	100.0	13983.0	17807.0	445.0	13.0	0.0	0	w;g;g;h
4	hidden	A13	x	x	600.0	100.0	24226.0	25577.0	567.0	2.0	0.0	0	x
5	hidden	A13	n	n	600.0	100.0	39120.0	40531.0	447.0	3.0	0.0	0	n
5	hidden	A13	z	z	600.0	100.0	21988.0	23281.0	480.0	2.0	0.0	0	z
5	hidden	A13	l	l	600.0	100.0	34531.0	37951.0	505.0	13.0	0.0	0	j;l;l
5	hidden	A13	i	i	600.0	100.0	44388.0	46139.0	549.0	4.0	0.0	0	y;u;i
5	hidden	A13	e	e	600.0	100.0	41836.0	43201.0	536.0	2.0	0.0	0	e
5	hidden	A13	j	g	600.0	100.0	50325.0	51713.0	522.0	4.0	254.54999999999995	2	g
5	hidden	A13	m	b	600.0	100.0	28921.0	30525.0	402.0	3.0	254.55000000000007	2	n;b
5	hidden	A13	b	v	600.0	100.0	24405.0	27793.0	568.0	7.0	127.27800000000002	1	c;v;x;z;s;v;v
5	hidden	A13	r	r	600.0	100.0	19428.0	20788.0	475.0	2.0	0.0	0	r
5	hidden	A13	f	f	600.0	100.0	47249.0	49141.0	477.0	3.0	0.0	0	d;f
5	hidden	A13	v	v	600.0	100.0	55500.0	58277.0	566.0	8.0	0.0	0	c;x;v
5	hidden	A13	h	h	600.0	100.0	31633.0	33408.0	450.0	3.0	0.0	0	h;g;h
5	hidden	A13	c	c	600.0	100.0	52933.0	54387.0	613.0	3.0	0.0	0	c
6	hidden	A13	k	k	600.0	100.0	33855.0	35372.0	150.0	4.0	0.0	0	k
6	hidden	A13	q	q	600.0	100.0	51104.0	52456.0	28.0	2.0	0.0	0	q
6	hidden	A13	y	y	600.0	100.0	53671.0	57106.0	207.0	7.0	0.0	0	g;h;g;h;y
6	hidden	A13	a	a	600.0	100.0	36556.0	37907.0	537.0	2.0	0.0	0	a
6	hidden	A13	d	d	600.0	100.0	72372.0	74008.0	749.0	1.0	0.0	0	d
6	hidden	A13	s	s	600.0	100.0	48301.0	49919.0	761.0	2.0	0.0	0	d;s
6	hidden	A13	g	f	600.0	100.0	79019.0	81299.0	222.0	3.0	127.27599999999995	1	d;s;x;c;f
6	hidden	A13	t	t	600.0	100.0	60827.0	65234.0	716.0	8.0	0.0	0	d;e;e;e;r;y;t
6	hidden	A13	x	x	600.0	100.0	25608.0	27183.0	177.0	4.0	0.0	0	x
6	hidden	A13	p	p	600.0	100.0	92413.0	100469.0	166.0	17.0	0.0	0	l;e;l;p;l;p;l;p
6	hidden	A13	o	o	600.0	100.0	87852.0	91002.0	208.0	5.0	0.0	0	o;l;l;l;o
6	hidden	A13	w	w	600.0	100.0	75750.0	76956.0	161.0	2.0	0.0	0	w
6	hidden	A13	u	u	600.0	100.0	41969.0	45584.0	344.0	4.0	0.0	0	y;u;u;j;u
7	hidden	A13	n	b	600.0	100.0	20920.0	22286.0	551.0	2.0	127.2700000000001	1	b
7	hidden	A13	z	z	600.0	100.0	14722.0	18726.0	253.0	6.0	0.0	0	z;z
7	hidden	A13	q	q	600.0	100.0	5333.0	6777.0	478.0	3.0	0.0	0	w;q
7	hidden	A13	i	i	600.0	100.0	27563.0	30400.0	433.0	8.0	0.0	0	u;h;u;i;i
7	hidden	A13	d	d	600.0	100.0	23498.0	26229.0	423.0	5.0	0.0	0	d;d
7	hidden	A13	e	e	600.0	100.0	12186.0	13473.0	555.0	2.0	0.0	0	e
7	hidden	A13	s	s	600.0	100.0	36719.0	38020.0	474.0	3.0	0.0	0	s
7	hidden	A13	r	r	600.0	100.0	44175.0	45701.0	218.0	1.0	0.0	0	r
7	hidden	A13	g	g	600.0	100.0	8145.0	9968.0	441.0	3.0	0.0	0	f;g
7	hidden	A13	b	c	600.0	100.0	33281.0	35232.0	536.0	4.0	254.55399999999997	2	c;v;c
7	hidden	A13	k	k	600.0	100.0	52642.0	54415.0	417.0	4.0	0.0	0	k
7	hidden	A13	o	o	600.0	100.0	49201.0	50933.0	620.0	3.0	0.0	0	o
7	hidden	A13	c	c	600.0	100.0	55568.0	59691.0	372.0	3.0	0.0	0	c;c;c;c
8	hidden	A13	w	w	600.0	100.0	42379.0	43863.0	356.0	2.0	0.0	0	w
8	hidden	A13	y	t	600.0	100.0	11206.0	12921.0	345.0	3.0	127.27800000000002	1	e;r;t
8	hidden	A13	a	a	600.0	100.0	24468.0	25938.0	344.0	3.0	0.0	0	a
8	hidden	A13	j	g	600.0	100.0	36211.0	37711.0	119.0	2.0	254.54999999999995	2	g
8	hidden	A13	m	b	600.0	100.0	76980.0	78677.0	732.0	3.0	254.55000000000007	2	n;b
8	hidden	A13	v	c	600.0	100.0	69229.0	73668.0	369.0	7.0	127.27599999999995	1	c;c;c;c;c
8	hidden	A13	f	f	600.0	100.0	87722.0	89324.0	761.0	2.0	0.0	0	f
8	hidden	A13	x	x	600.0	100.0	8736.0	10072.0	535.0	2.0	0.0	0	x
8	hidden	A13	p	w	600.0	100.0	61562.0	63064.0	536.0	2.0	1018.206	8	w
8	hidden	A13	h	g	600.0	100.0	52157.0	58293.0	57.0	4.0	127.27999999999997	1	g;g;g;g;b;b;g;g;g;g;g;b;g
8	hidden	A13	t	t	600.0	100.0	39242.0	40462.0	73.0	1.0	0.0	0	t
8	hidden	A13	l	l	600.0	100.0	46218.0	50056.0	358.0	9.0	0.0	0	k;l
8	hidden	A13	u	u	600.0	100.0	17462.0	19712.0	344.0	6.0	0.0	0	u;i;u
9	hidden	A13	z	z	600.0	100.0	57260.0	58583.0	271.0	3.0	0.0	0	z
9	hidden	A13	q	q	600.0	100.0	5063.0	6430.0	193.0	3.0	0.0	0	q
9	hidden	A13	y	r	600.0	100.0	36575.0	37885.0	0.0	1.0	254.55399999999997	2	r
9	hidden	A13	e	e	600.0	100.0	44138.0	45459.0	342.0	1.0	0.0	0	e
9	hidden	A13	a	a	600.0	100.0	7538.0	8845.0	133.0	2.0	0.0	0	a
9	hidden	A13	l	k	600.0	100.0	21862.0	24790.0	223.0	8.0	127.26999999999998	1	g;s;k
9	hidden	A13	m	v	600.0	100.0	52813.0	55066.0	425.0	6.0	381.8280000000001	3	v;b;b;v
9	hidden	A13	b	c	600.0	100.0	41542.0	42996.0	311.0	2.0	254.55399999999997	2	c
9	hidden	A13	t	t	600.0	100.0	49684.0	51429.0	495.0	4.0	0.0	0	r;t
9	hidden	A13	s	s	600.0	100.0	30532.0	31836.0	149.0	2.0	0.0	0	s
